"x.data","y.data","y.norm"
620.858175253874,9.09836094916718e-09,1.75209489271823e-08
1298.7776900334,9.17142674958485e-09,1.75897677539351e-08
1976.69720481292,9.24487605957454e-09,1.76588217071088e-08
2654.61671959245,9.3187226595474e-09,1.77281114340817e-08
3332.53623437198,9.39292700793329e-09,1.77976375833612e-08
4010.4557491515,9.46748927191012e-09,1.78674008045828e-08
4688.37526393106,9.54247382455538e-09,1.79374017485095e-08
5366.29477871058,9.6178184743567e-09,1.80076410670307e-08
6044.21429349011,9.69352154243225e-09,1.80781194131618e-08
6722.13380826963,9.76961937630328e-09,1.81488374410434e-08
7400.05332304916,9.846105836468e-09,1.821979580594e-08
8077.97283782868,9.92295114185201e-09,1.82909951642398e-08
8755.89235260824,1.00001635407834e-08,1.83624361734533e-08
9433.81186738776,1.00777930848079e-08,1.84341194922128e-08
10111.7313821673,1.01557818282807e-08,1.85060457802714e-08
10789.6508969468,1.0234129864336e-08,1.85782156985021e-08
11467.5704117263,1.03128835402535e-08,1.86506299088968e-08
12145.4899265059,1.03920167000589e-08,1.87232890745657e-08
12823.4094412854,1.04715094167992e-08,1.87961938597358e-08
13501.3289560649,1.05513798832522e-08,1.88693449297507e-08
14179.2484708445,1.06316582256238e-08,1.8942742951069e-08
14857.167985624,1.07122963243076e-08,1.90163885912635e-08
15535.0875004035,1.07932942272905e-08,1.90902825190203e-08
16213.007015183,1.08747082751845e-08,1.91644254041377e-08
16890.9265299626,1.09564922599078e-08,1.92388179175254e-08
17568.8460447421,1.10386361692136e-08,1.93134607312031e-08
18246.7655595216,1.11211681541832e-08,1.93883545182996e-08
18924.6850743012,1.12040983438553e-08,1.94634999530518e-08
19602.6045890807,1.12873885222229e-08,1.95388977108036e-08
20280.5241038602,1.1371038698243e-08,1.96145484680045e-08
20958.4436186398,1.14551151794576e-08,1.96904529022092e-08
21636.3631334193,1.15395517211727e-08,1.97666116920756e-08
22314.2826481988,1.162434825771e-08,1.98430255173642e-08
22992.2021629784,1.17095428906543e-08,1.99196950589368e-08
23670.1216777579,1.17951257349324e-08,1.99966209987553e-08
24348.0411925374,1.18810685248717e-08,2.00738040198805e-08
25025.9607073169,1.19673811613092e-08,2.0151244806471e-08
25703.8802220965,1.20541101062717e-08,2.02289440437818e-08
26381.799736876,1.21411989059864e-08,2.03069024181631e-08
27059.7192516555,1.22286475254934e-08,2.03851206170591e-08
27737.6387664351,1.23165039934183e-08,2.0463599329007e-08
28415.5582812146,1.24047384375109e-08,2.0542339243635e-08
29093.4777959941,1.24933325632717e-08,2.06213410516616e-08
29771.3973107737,1.25823062132607e-08,2.07006054448942e-08
30449.3168255532,1.26716858298704e-08,2.07801331162275e-08
31127.2363403327,1.27614249595318e-08,2.08599247596424e-08
31805.1558551122,1.28515235461049e-08,2.09399810702045e-08
32483.0753698918,1.29420395128276e-08,2.10203027440629e-08
33160.9948846713,1.30329230586131e-08,2.11008904784484e-08
33838.9143994508,1.31241658607579e-08,2.11817449716726e-08
34516.8339142303,1.32157976824166e-08,2.12628669231261e-08
35194.7534290099,1.33078249877025e-08,2.13442570332771e-08
35872.6729437895,1.34002113304894e-08,2.14259160036701e-08
36550.592458569,1.34929583494054e-08,2.15078445369242e-08
37228.5119733485,1.3586128705821e-08,2.15900433367318e-08
37906.431488128,1.36796578681395e-08,2.16725131078571e-08
38584.3510029076,1.37735457647694e-08,2.17552545561343e-08
39262.2705176871,1.3867832054287e-08,2.18382683884662e-08
39940.1900324666,1.39625032866177e-08,2.19215553128228e-08
40618.1095472461,1.40575330136847e-08,2.20051160382395e-08
41296.0290620257,1.41529328086152e-08,2.20889512748156e-08
41973.9485768052,1.42487453512928e-08,2.21730617337126e-08
42651.8680915847,1.43449161498212e-08,2.22574481271528e-08
43329.7876063642,1.44414451331072e-08,2.23421111684173e-08
44007.7071211438,1.453838183376e-08,2.24270515718446e-08
44685.6266359233,1.46356929594467e-08,2.25122700528289e-08
45363.5461507029,1.47333620410522e-08,2.25977673278182e-08
46041.4656654824,1.4831410566943e-08,2.26835441143129e-08
46719.3851802619,1.49298613095015e-08,2.27696011308637e-08
47397.3046950414,1.50286697940523e-08,2.28559390970703e-08
48075.224209821,1.51278359598799e-08,2.29425587335791e-08
48753.1437246005,1.5227419204426e-08,2.30294607620819e-08
49431.06323938,1.53273664567512e-08,2.31166459053137e-08
50108.9827541595,1.54276712054898e-08,2.32041148870514e-08
50786.9022689391,1.55283648442142e-08,2.32918684321113e-08
51464.8217837186,1.56294503096826e-08,2.33799072663477e-08
52142.7412984981,1.57308931165652e-08,2.3468232116651e-08
52820.6608132777,1.58326966836423e-08,2.35568437109456e-08
53498.5803280572,1.59349199088981e-08,2.36457427781883e-08
54176.4998428368,1.60375003571321e-08,2.37349300483661e-08
54854.4193576163,1.61404380008139e-08,2.38244062524943e-08
55532.3388723958,1.62437741467047e-08,2.39141721226147e-08
56210.2583871753,1.63474919487066e-08,2.40042283917934e-08
56888.1779019549,1.64515668856185e-08,2.40945757941192e-08
57566.0974167344,1.65560123134594e-08,2.4185215064701e-08
58244.0169315139,1.66608673324482e-08,2.42761469396664e-08
58921.9364462934,1.67660794782489e-08,2.43673721561592e-08
59599.855961073,1.68716487597979e-08,2.44588914523375e-08
60277.7754758525,1.69776264322986e-08,2.45507055673715e-08
60955.694990632,1.70839758824477e-08,2.46428152414417e-08
61633.6145054116,1.71906825392046e-08,2.47352212157365e-08
62311.5340201911,1.72977697190548e-08,2.48279242324502e-08
62989.4535349706,1.7405256771163e-08,2.49209250347806e-08
63667.3730497502,1.75131011696101e-08,2.50142243669274e-08
64345.2925645297,1.76213029712147e-08,2.51078229740893e-08
65023.2120793092,1.77299234517943e-08,2.52017216024623e-08
65701.1315940887,1.78389061904935e-08,2.52959209992372e-08
66379.0511088683,1.79482465727729e-08,2.53904219125976e-08
67056.9706236478,1.80579779322459e-08,2.54852250917173e-08
67734.8901384273,1.81680998648404e-08,2.55803312867584e-08
68412.8096532068,1.82785797672211e-08,2.56757412488687e-08
69090.7291679864,1.83894229877266e-08,2.57714557301796e-08
69768.648682766,1.850068524619e-08,2.58674754838036e-08
70446.5681975455,1.86123058938985e-08,2.59638012638319e-08
71124.487712325,1.87242850770448e-08,2.60604338253323e-08
71802.4072271045,1.88366662463563e-08,2.61573739243465e-08
72480.3267418841,1.89494291739641e-08,2.6254622317888e-08
73158.2462566636,1.90625511893094e-08,2.63521797639394e-08
73836.1657714431,1.91760477037598e-08,2.645004702145e-08
74514.0852862226,1.928995477893e-08,2.65482248503334e-08
75192.0048010022,1.94042216048493e-08,2.66467140114651e-08
75869.9243157817,1.95188484046784e-08,2.67455152666798e-08
76547.8438305612,1.96338888997268e-08,2.6844629378769e-08
77225.7633453407,1.97493028792815e-08,2.69440571114784e-08
77903.6828601203,1.98650776515428e-08,2.70437992295054e-08
78581.6023748998,1.99812388162416e-08,2.71438564984966e-08
79259.5218896794,2.00978026813091e-08,2.72442296850447e-08
79937.4414044589,2.02147282863322e-08,2.73449195566867e-08
80615.3609192384,2.03320159437632e-08,2.74459268819006e-08
81293.2804340179,2.04497298627994e-08,2.75472524301032e-08
81971.1999487975,2.05678095817533e-08,2.76488969716468e-08
82649.119463577,2.06862524794041e-08,2.77508612778172e-08
83327.0389783565,2.08050945291923e-08,2.78531461208307e-08
84004.958493136,2.09243320884795e-08,2.79557522738313e-08
84682.8780079156,2.10439340991413e-08,2.8058680510888e-08
85360.7975226951,2.11639081101714e-08,2.81619316069918e-08
86038.7170374746,2.12843077059001e-08,2.82655063380536e-08
86716.6365522542,2.14050731798927e-08,2.83694054809006e-08
87394.5560670337,2.15262049946321e-08,2.84736298132739e-08
88072.4755818133,2.16477497530482e-08,2.85781801138255e-08
88750.3950965928,2.17696835427589e-08,2.86830571621155e-08
89428.3146113723,2.18919853128168e-08,2.87882617386092e-08
90106.2341261518,2.201467303964e-08,2.88937946246742e-08
