"x.data","y.data","y.norm"
863.18361986056,1.58535363530935e-07,1.65000997506156e-07
1880.7076695204,1.59448360954731e-07,1.65278289821737e-07
2898.2317191803,1.60362350487035e-07,1.65555820292935e-07
3915.75576884014,1.61277459713998e-07,1.65833588555105e-07
4933.27981850004,1.62193480745519e-07,1.66111594242008e-07
5950.80386815988,1.63110380826198e-07,1.6638983698581e-07
6968.32791781978,1.64028219400926e-07,1.66668316417082e-07
7985.85196747963,1.6494692031875e-07,1.66947032164795e-07
9003.37601713953,1.6586639089465e-07,1.67225983856325e-07
10020.9000667994,1.66786624062711e-07,1.67505171117452e-07
11038.4241164593,1.67707656775274e-07,1.67784593572354e-07
12055.9481661191,1.68629348445676e-07,1.68064250843611e-07
13073.472215779,1.69551665409149e-07,1.68344142552206e-07
14090.9962654389,1.70474655145278e-07,1.68624268317518e-07
15108.5203150988,1.71398214630333e-07,1.68904627757327e-07
16126.0443647586,1.72322287183804e-07,1.69185220487813e-07
17143.5684144185,1.73246869482119e-07,1.6946604612355e-07
18161.0924640783,1.74171940007494e-07,1.69747104277515e-07
19178.6165137382,1.7509741035009e-07,1.70028394561077e-07
20196.1405633981,1.76023246131992e-07,1.70309916584006e-07
21213.6646130579,1.76949465677668e-07,1.70591669954464e-07
22231.1886627178,1.77875973036665e-07,1.7087365427901e-07
23248.7127123777,1.78802731438628e-07,1.711558691626e-07
24266.2367620376,1.79729724444559e-07,1.71438314208583e-07
25283.7608116974,1.80656905482481e-07,1.717209890187e-07
26301.2848613573,1.81584222439571e-07,1.7200389319309e-07
27318.8089110171,1.82511642002656e-07,1.72287026330281e-07
28336.332960677,1.83439131233031e-07,1.72570388027196e-07
29353.8570103369,1.84366640665641e-07,1.72853977879151e-07
30371.3810599968,1.85294135264226e-07,1.73137795479852e-07
31388.9051096566,1.86221568360188e-07,1.73421840421397e-07
32406.4291593165,1.87148902600221e-07,1.73706112294276e-07
33423.9532089764,1.88076105722088e-07,1.73990610687369e-07
34441.4772586363,1.89003130703715e-07,1.74275335187947e-07
35459.0013082961,1.89929920927866e-07,1.7456028538167e-07
36476.525357956,1.90856463474917e-07,1.74845460852588e-07
37494.0494076159,1.91782723117808e-07,1.75130861183142e-07
38511.5734572758,1.92708605801893e-07,1.75416485954159e-07
39529.0975069356,1.93634118101944e-07,1.75702334744857e-07
40546.6215565955,1.94559230793409e-07,1.75988407132841e-07
41564.1456062553,1.95483866128861e-07,1.76274702694104e-07
42581.6696559152,1.96407978382591e-07,1.76561221003029e-07
43599.1937055751,1.97331574376878e-07,1.76847961632383e-07
44616.717755235,1.98254610867783e-07,1.77134924153324e-07
45634.2418048948,1.99176953600299e-07,1.77422108135393e-07
46651.7658545547,2.00098663620957e-07,1.7770951314652e-07
47669.2899042146,2.01019705828754e-07,1.77997138753023e-07
48686.8139538745,2.01939954858095e-07,1.78284984519602e-07
49704.3380035343,2.02859410554405e-07,1.78573050009346e-07
50721.8620531942,2.0377808246322e-07,1.78861334783731e-07
51739.386102854,2.04695896403568e-07,1.79149838402615e-07
52756.9101525139,2.0561273080972e-07,1.79438560424244e-07
53774.4342021738,2.06528665989533e-07,1.79727500405249e-07
54791.9582518336,2.07443667214431e-07,1.80016657900645e-07
55809.4823014935,2.08357544957069e-07,1.80306032463833e-07
56827.0063511534,2.09270378971142e-07,1.805956236466e-07
57844.5304008133,2.10182164510723e-07,1.80885430999115e-07
58862.0544504731,2.11092779842021e-07,1.81175454069933e-07
59879.5785001329,2.12002150709136e-07,1.81465692405993e-07
60897.1025497929,2.12910359457565e-07,1.81756145552621e-07
61914.6265994527,2.13817369924605e-07,1.82046813053522e-07
62932.1506491126,2.14722918581161e-07,1.82337694450792e-07
63949.6746987724,2.15627192497439e-07,1.82628789284904e-07
64967.1987484324,2.16530157891883e-07,1.82920097094722e-07
65984.7227980922,2.17431629378273e-07,1.83211617417489e-07
67002.2468477521,2.18331613946793e-07,1.83503349788834e-07
68019.7708974119,2.19230178924462e-07,1.8379529374277e-07
69037.2949470719,2.20127240637149e-07,1.84087448811694e-07
70054.8189967317,2.21022585326029e-07,1.84379814526388e-07
71072.3430463916,2.21916400714362e-07,1.84672390416017e-07
72089.8670960514,2.22808653965216e-07,1.84965176008129e-07
73107.3911457114,2.23699080681373e-07,1.85258170828658e-07
74124.9151953712,2.24587801891098e-07,1.85551374401921e-07
75142.439245031,2.25474853241298e-07,1.85844786250622e-07
76159.9632946909,2.26360087896003e-07,1.86138405895844e-07
77177.4873443508,2.27243375370777e-07,1.8643223285706e-07
78195.0113940107,2.28124886953631e-07,1.86726266652124e-07
79212.5354436705,2.29004590981588e-07,1.87020506797276e-07
80230.0594933304,2.29882129648592e-07,1.8731495280714e-07
81247.5835429903,2.30757769215153e-07,1.87609604194725e-07
82265.1075926502,2.31631497606452e-07,1.87904460471426e-07
83282.63164231,2.32503090074405e-07,1.88199521147021e-07
84300.1556919698,2.33372531429432e-07,1.88494785729676e-07
85317.6797416298,2.34239959998772e-07,1.8879025372594e-07
86335.2037912896,2.35105300108804e-07,1.8908592464075e-07
