"x.data","y.data","y.norm"
509.610245634685,4.12609295068041e-09,7.43686620461338e-09
1504.08699010382,4.16408111414206e-09,7.4701095851906e-09
2498.5637345729,4.20231692751786e-09,7.50348458183235e-09
3493.04047904199,4.24079962287708e-09,7.53699163114482e-09
4487.51722351112,4.27955340307694e-09,7.57063117078559e-09
5481.9939679802,4.31857786862747e-09,7.60440363946444e-09
6476.47071244934,4.35785169453536e-09,7.63830947694409e-09
7470.94745691842,4.39737851871006e-09,7.67234912404077e-09
8465.42420138756,4.43719942594649e-09,7.70652302262508e-09
9459.90094585664,4.47727211776089e-09,7.74083161562258e-09
10454.3776903258,4.5175973153743e-09,7.77527534701448e-09
11448.8544347949,4.55820422141460e-09,7.80985466183834e-09
12443.3311792639,4.59908333737093e-09,7.84457000618872e-09
13437.8079237331,4.6402173078927e-09,7.87942182721782e-09
14432.2846682022,4.6816143504699e-09,7.91441057313615e-09
15426.7614126713,4.72330726136466e-09,7.94953669321314e-09
16421.2381571404,4.76525731384094e-09,7.98480063777776e-09
17415.7149016095,4.80746518615497e-09,8.02020285821918e-09
18410.1916460786,4.84996523061804e-09,8.05574380698732e-09
19404.6683905477,4.8927384726257e-09,8.09142393759349e-09
20399.1451350168,4.9357717358293e-09,8.12724370461095e-09
21393.6218794859,4.9790779877984e-09,8.16320356367553e-09
22388.098623955,5.02268131449565e-09,8.19930397148614e-09
23382.5753684241,5.06654679393292e-09,8.23554538580536e-09
24377.0521128933,5.11067505579508e-09,8.27192826546001e-09
25371.5288573623,5.15510572840238e-09,8.30845307034168e-09
26366.0056018315,5.19981002213162e-09,8.34512026140721e-09
27360.4823463006,5.24477913336038e-09,8.38193030067929e-09
28354.9590907697,5.29003092908423e-09,8.41888365124693e-09
29349.4358352388,5.33558039629564e-09,8.45598077726594e-09
30343.9125797079,5.38139663773872e-09,8.49322214395948e-09
31338.389324177,5.42748022859665e-09,8.53060821761848e-09
32332.8660686461,5.47387617254102e-09,8.56813946560216e-09
33327.3428131152,5.52054557048334e-09,8.60581635633846e-09
34321.8195575843,5.56748416669059e-09,8.64363935932451e-09
35316.2963020534,5.61471485250922e-09,8.68160894512706e-09
36310.7730465225,5.66224316647169e-09,8.71972558538293e-09
37305.2497909916,5.7100424402224e-09,8.75798975279939e-09
38299.7265354607,5.75811318819669e-09,8.79640192115461e-09
39294.2032799298,5.80650585817412e-09,8.83496256529807e-09
40288.680024399,5.85517119840182e-09,8.87367216115088e-09
41283.156768868,5.90410965449891e-09,8.91253118570623e-09
42277.6335133372,5.95334923919446e-09,8.95154011702976e-09
43272.1102578063,6.00288573877724e-09,8.99069943425985e-09
44266.5870022754,6.05269689912847e-09,9.03000961760803e-09
45261.0637467445,6.10278802709849e-09,9.06947114835931e-09
46255.5404912136,6.15320046982115e-09,9.10908450887249e-09
47250.0172356827,6.20388901724818e-09,9.14885018258048e-09
48244.4939801518,6.25485408505767e-09,9.18876865399056e-09
49238.9707246209,6.30612887283732e-09,9.22884040868482e-09
50233.44746909,6.35769916350591e-09,9.26906593332023e-09
51227.9242135591,6.40954728045993e-09,9.30944571562912e-09
52222.4009580282,6.46168346321618e-09,9.34998024441926e-09
53216.8777024974,6.51413951306918e-09,9.39067000957427e-09
54211.3544469664,6.56687458415791e-09,9.43151550205373e-09
55205.8311914355,6.61988901497313e-09,9.47251721389351e-09
56200.3079359047,6.67322122205267e-09,9.5136756382059e-09
57194.7846803737,6.72684679382337e-09,9.55499126917987e-09
58189.2614248429,6.78075276898959e-09,9.59646460208123e-09
59183.738169312,6.83495438737477e-09,9.63809613325288e-09
60178.2149137811,6.88947363390138e-09,9.67988636011488e-09
61172.6916582502,6.94427420620967e-09,9.72183578116467e-09
62167.1684027193,6.9993563584211e-09,9.76394489597725e-09
63161.6451471884,7.05476371476276e-09,9.8062142052052e-09
64156.1218916575,7.11046154575183e-09,9.84864421057897e-09
65150.5986361266,7.16644171409481e-09,9.89123541490685e-09
66145.0753805957,7.22272449138893e-09,9.93398832207513e-09
67139.5521250648,7.27932183693547e-09,9.97690343704821e-09
68134.0288695339,7.33620214539463e-09,1.00199812658686e-08
69128.5056140031,7.39336557914335e-09,1.00632223156571e-08
70122.9823584721,7.45086091741698e-09,1.01066270946129e-08
71117.4591029413,7.50864306510038e-09,1.01501961120131e-08
72111.9358474104,7.56670878472681e-09,1.01939298782137e-08
73106.4125918794,7.62508337098686e-09,1.02378289046487e-08
74100.8893363486,7.68376861744044e-09,1.02818937038306e-08
75095.3660808177,7.7427377397867e-09,1.03261247893503e-08
76089.8428252868,7.80199248508814e-09,1.0370522675877e-08
77084.3195697559,7.86158163552836e-09,1.04150878791583e-08
78078.796314225,7.92145481837482e-09,1.045982091602e-08
79073.2730586941,7.9816120510977e-09,1.05047223043662e-08
80067.7498031632,8.04208359861291e-09,1.0549792563179e-08
81062.2265476323,8.10286102584039e-09,1.05950322125187e-08
82056.7032921014,8.16392246018462e-09,1.06404417735236e-08
83051.1800365705,8.22527458921354e-09,1.06860217684099e-08
84045.6567810396,8.28695595594417e-09,1.07317727204714e-08
85040.1335255087,8.34892112865637e-09,1.07776951540797e-08
86034.6102699778,8.41117001465081e-09,1.08237895946838e-08
87029.087014447,8.4737377479628e-09,1.087005656881e-08
88023.563758916,8.53660568743777e-09,1.09164966040617e-08
89018.0405033852,8.59975692554231e-09,1.09631102291196e-08
90012.5172478543,8.66320304386859e-09,1.10098979737407e-08
91006.9939923233,8.72697225535136e-09,1.10568603687589e-08
92001.4707367925,8.79102418154214e-09,1.11039979460844e-08
92995.9474812616,8.85535861199954e-09,1.11513112387033e-08
93990.4242257307,8.92001539653877e-09,1.11988007806779e-08
94984.9009701998,8.98496580424219e-09,1.12464671071458e-08
95979.3777146689,9.05019790466992e-09,1.12943107543201e-08
96973.854459138,9.11572807817152e-09,1.13423322594889e-08
97968.3312036071,9.18157420370258e-09,1.1390532161015e-08
98962.8079480762,9.24770103042737e-09,1.14389109983355e-08
99957.2846925453,9.31410822271197e-09,1.1487469311962e-08
100951.761437014,9.38084013671039e-09,1.15362076434793e-08
101946.238181484,9.44785816998392e-09,1.1585126535546e-08
102940.714925953,9.51515533588038e-09,1.16342265318937e-08
103935.191670422,9.58275266556768e-09,1.16835081773264e-08
104929.668414891,9.65065779543513e-09,1.17329720177204e-08
105924.14515936,9.71884063459794e-09,1.17826186000241e-08
106918.621903829,9.78730071499927e-09,1.18324484722571e-08
