"x.data","y.data","y.norm"
3465.82176100579,4.279320608025e-09,2.2301107349895e-09
13501.7840627416,4.34540555994983e-09,2.24340446667666e-09
23537.7463644773,4.41189279608167e-09,2.2567665643455e-09
33573.7086662131,4.47874719463301e-09,2.27019730599483e-09
43609.6709679489,4.54598802165961e-09,2.283696970283e-09
53645.6332696849,4.61356908444274e-09,2.29726583652647e-09
63681.5955714206,4.68151922884095e-09,2.31090418469824e-09
73717.5578731564,4.74978276363291e-09,2.32461229542643e-09
83753.5201748922,4.81839656273884e-09,2.33839044999265e-09
93789.4824766279,4.88729707396114e-09,2.35223893033054e-09
103825.444778364,4.95652758968398e-09,2.36615801902407e-09
113861.4070801,5.02601839112602e-09,2.38014799930602e-09
123897.369381835,5.09581753000791e-09,2.3942091550563e-09
133933.331683571,5.16585413585182e-09,2.40834177080029e-09
143969.293985307,5.2361695027244e-09,2.42254613170715e-09
154005.256287043,5.30670338700911e-09,2.4368225235881e-09
164041.218588779,5.37748478134632e-09,2.45117123289472e-09
174077.180890515,5.44846556624754e-09,2.46559254671713e-09
184113.143192251,5.51966306001524e-09,2.48008675278221e-09
194149.105493986,5.59103966962087e-09,2.49465413945183e-09
204185.067795722,5.66260272906327e-09,2.50929499572093e-09
214221.030097458,5.73432353277435e-09,2.52400961121573e-09
224256.992399194,5.80620115907303e-09,2.53879827619177e-09
234292.954700929,5.87821411897819e-09,2.55366128153202e-09
244328.917002665,5.95035499245174e-09,2.56859891874491e-09
254364.879304401,6.02260781415206e-09,2.5836114799624e-09
264400.841606137,6.09496044148918e-09,2.59869925793791e-09
274436.803907873,6.16740072782882e-09,2.61386254604436e-09
284472.766209609,6.23991359182815e-09,2.62910163827206e-09
294508.728511344,6.31248899896596e-09,2.64441682922667e-09
304544.69081308,6.3851107102386e-09,2.65980841412705e-09
314580.653114816,6.45776910547897e-09,2.67527668880317e-09
324616.615416552,6.53044855555469e-09,2.69082194969388e-09
334652.577718287,6.60313817634083e-09,2.70644449384481e-09
344688.540020023,6.67582469160609e-09,2.72214461890606e-09
354724.502321759,6.74849430506691e-09,2.73792262313003e-09
364760.464623495,6.82113780095252e-09,2.75377880536908e-09
374796.426925231,6.89373686338452e-09,2.76971346507327e-09
384832.389226967,6.96628799821299e-09,2.78572690228805e-09
394868.351528703,7.03876681387159e-09,2.80181941765182e-09
404904.313830438,7.11117632615099e-09,2.81799131239367e-09
414940.276132174,7.18348702033876e-09,2.83424288833082e-09
424976.23843391,7.25570623155244e-09,2.85057444786633e-09
435012.200735646,7.32780255472457e-09,2.86698629398649e-09
445048.163037381,7.3997845045928e-09,2.88347873025846e-09
455084.125339117,7.47162099927357e-09,2.9000520608276e-09
465120.087640853,7.54332010893524e-09,2.91670659041505e-09
475156.049942589,7.61485274277219e-09,2.93344262431504e-09
485192.012244325,7.68622496286157e-09,2.95026046839237e-09
495227.974546061,7.75741126962723e-09,2.96716042907967e-09
505263.936847796,7.8284142242402e-09,2.98414281337483e-09
515299.899149532,7.89921344058652e-09,3.00120792883823e-09
525335.861451268,7.9698065665272e-09,3.01835608359006e-09
535371.823753004,8.04017976392061e-09,3.0355875863075e-09
545407.786054739,8.11032444463086e-09,3.05290274622202e-09
555443.748356475,8.18023465590805e-09,3.0703018731165e-09
565479.710658211,8.24989434949642e-09,3.08778527732241e-09
575515.672959947,8.31930668949482e-09,3.10535326971693e-09
585551.635261683,8.38844705029722e-09,3.12300616172004e-09
595587.597563419,8.45732883003046e-09,3.14074426529162e-09
605623.559865155,8.52591782315337e-09,3.15856789292844e-09
615659.52216689,8.59423865701983e-09,3.17647735766119e-09
625695.484468626,8.66224666533634e-09,3.19447297305146e-09
635731.446770362,8.7299785708682e-09,3.21255505318869e-09
645767.409072098,8.79737849395962e-09,3.23072391268708e-09
655803.371373833,8.86449598364178e-09,3.24897986668248e-09
