"x.data","y.data","y.norm"
440.477232342091,1.20143517199665e-08,2.91336838654226e-08
936.360959504134,1.21597079634635e-08,2.92791133585049e-08
1432.24468666616,1.23065063855191e-08,2.94251751451919e-08
1928.12841382819,1.24545577916643e-08,2.95718714475891e-08
2424.01214099023,1.26039226397966e-08,2.97192044928101e-08
2919.89586815226,1.27547097808447e-08,2.98671765129719e-08
3415.77959531429,1.29067431476829e-08,3.00157897451925e-08
3911.66332247632,1.30602421098427e-08,3.01650464315864e-08
4407.54704963836,1.32150725841028e-08,3.03149488192615e-08
4903.43077680039,1.3371235279378e-08,3.04654991603146e-08
5399.31450396242,1.35289065868236e-08,3.0616699711828e-08
5895.19823112446,1.36878726030906e-08,3.07685527358652e-08
6391.08195828649,1.38483294358731e-08,3.09210604994666e-08
6886.96568544852,1.40102024835371e-08,3.10742252746457e-08
7382.84941261057,1.41734279614896e-08,3.12280493383842e-08
7878.73313977259,1.43382552309717e-08,3.1382534972628e-08
8374.61686693462,1.45044295388885e-08,3.15376844642825e-08
8870.50059409667,1.46721218052248e-08,3.16935001052078e-08
9366.38432125869,1.48413218071785e-08,3.1849984192214e-08
9862.26804842072,1.50119015156859e-08,3.20071390270566e-08
10358.1517755828,1.51841725912715e-08,3.21649669164313e-08
10854.0355027448,1.53578527947749e-08,3.23234701719687e-08
11349.9192299068,1.55330800890252e-08,3.24826511102298e-08
11845.8029570689,1.57099141205029e-08,3.26425120527001e-08
12341.6866842309,1.58881869772935e-08,3.28030553257846e-08
12837.5704113929,1.6068188350822e-08,3.29642832608019e-08
13333.454138555,1.62496957838045e-08,3.31261981939791e-08
13829.337865717,1.64327814472246e-08,3.32888024664459e-08
14325.221592879,1.66175810030604e-08,3.34520984242288e-08
14821.1053200411,1.6803883179651e-08,3.3616088418245e-08
15316.9890472031,1.69919535549196e-08,3.37807748042967e-08
15812.8727743651,1.71816349316724e-08,3.39461599430649e-08
16308.7565015272,1.73729276444563e-08,3.4112246200103e-08
16804.6402286892,1.75660502293009e-08,3.42790359458307e-08
17300.5239558512,1.77607441821164e-08,3.44465315555273e-08
17796.4076830133,1.79572484997821e-08,3.46147354093255e-08
18292.2914101753,1.81554774046624e-08,3.47836498922042e-08
18788.1751373373,1.8355352612339e-08,3.49532773939824e-08
19284.0588644994,1.85571831519664e-08,3.51236203093117e-08
19779.9425916614,1.87606589956687e-08,3.52946810376696e-08
20275.8263188234,1.89659897361469e-08,3.54664619833525e-08
20771.7100459854,1.917316790745e-08,3.56389655554682e-08
21267.5937731475,1.93820373119277e-08,3.58121941679288e-08
21763.4775003095,1.95929810655453e-08,3.59861502394431e-08
22259.3612274716,1.98056577131622e-08,3.61608361935091e-08
22755.2449546336,2.00202359619883e-08,3.63362544584066e-08
23251.1286817956,2.02367943235308e-08,3.65124074671887e-08
23747.0124089576,2.04551264609957e-08,3.66892976576747e-08
24242.8961361197,2.06755903200312e-08,3.68669274724418e-08
24738.7798632817,2.0897916342821e-08,3.70452993588168e-08
25234.6635904438,2.1122192572576e-08,3.7224415768868e-08
25730.5473176058,2.13485919656786e-08,3.74042791593969e-08
26226.4310447678,2.15768532421984e-08,3.75848919919296e-08
26722.3147719298,2.18073059512006e-08,3.77662567327084e-08
27218.1984990919,2.20397601108024e-08,3.79483758526829e-08
27714.0822262539,2.22742146334776e-08,3.81312518275012e-08
28209.965953416,2.25109462019589e-08,3.83148871375013e-08
28705.849680578,2.27496333555275e-08,3.84992842677013e-08
29201.73340774,2.29905735932525e-08,3.86844457077912e-08
29697.617134902,2.32336649990708e-08,3.88703739521227e-08
30193.5008620641,2.34788080433032e-08,3.90570714997004e-08
30689.3845892261,2.37263932248409e-08,3.92445408541721e-08
31185.2683163882,2.39760332390863e-08,3.94327845238189e-08
31681.1520435502,2.42279894433184e-08,3.96218050215458e-08
32177.0357707122,2.44822572893545e-08,3.98116048648716e-08
32672.9194978742,2.47386408031312e-08,4.00021865759187e-08
33168.8032250363,2.49976187372148e-08,4.01935526814037e-08
33664.6869521983,2.52587683084085e-08,4.0385705712626e-08
34160.5706793604,2.55222980554188e-08,4.05786482054588e-08
34656.4544065224,2.57883108929697e-08,4.0772382700337e-08
35152.3381336844,2.6056547137636e-08,4.09669117422481e-08
35648.2218608464,2.63274543400117e-08,4.11622378807206e-08
36144.1055880085,2.66006988555658e-08,4.13583636698131e-08
36639.9893151705,2.68763877542447e-08,4.15552916681036e-08
37135.8730423325,2.71547422600791e-08,4.17530244386787e-08
37631.7567694946,2.74354329176551e-08,4.19515645491212e-08
38127.6404966566,2.77188714218796e-08,4.21509145715001e-08
38623.5242238186,2.80048234123233e-08,4.23510770823583e-08
39119.4079509807,2.82932834769163e-08,4.25520546627009e-08
39615.2916781427,2.85846026807711e-08,4.27538498979842e-08
40111.1754053047,2.88783753978289e-08,4.29564653781028e-08
40607.0591324668,2.91749723722516e-08,4.31599036973786e-08
41102.9428596288,2.94742694035411e-08,4.33641674545479e-08
41598.8265867908,2.97761368738293e-08,4.35692592527495e-08
42094.7103139529,3.008106781437e-08,4.37751816995124e-08
42590.5940411149,3.03885737495992e-08,4.3981937406743e-08
43086.4777682769,3.0698978965265e-08,4.41895289907125e-08
43582.361495439,3.10122809442181e-08,4.43979590720446e-08
44078.245222601,3.13282309585044e-08,4.46072302757018e-08
44574.128949763,3.16474243127047e-08,4.4817345230973e-08
45070.0126769251,3.1969335084723e-08,4.50283065714602e-08
45565.8964040871,3.22942177934266e-08,4.5240116935065e-08
46061.7801312491,3.26222036660885e-08,4.54527789639752e-08
46557.6638584112,3.29529642993701e-08,4.56662953046516e-08
47053.5475855732,3.32870534376764e-08,4.5880668607814e-08
47549.4313127353,3.36240574575465e-08,4.60959015284273e-08
48045.3150398973,3.39641026666145e-08,4.63119967256877e-08
48541.1987670593,3.43074664974268e-08,4.6528956863009e-08
49037.0824942213,3.46537341232658e-08,4.67467846080072e-08
49532.9662213834,3.50034116132522e-08,4.69654826324876e-08
50028.8499485454,3.53562097948343e-08,4.71850536124293e-08
50524.7336757075,3.57121139337942e-08,4.74055002279713e-08
51020.6174028695,3.60715603625106e-08,4.76268251633968e-08
51516.5011300315,3.64340410244339e-08,4.78490311071191e-08
52012.3848571935,3.68000078967455e-08,4.80721207516666e-08
52508.2685843556,3.71693087476474e-08,4.82960967936671e-08
53004.1523115176,3.75417747314512e-08,4.85209619338326e-08
53500.0360386796,3.79180138147423e-08,4.87467188769446e-08
53995.9197658417,3.82974179558613e-08,4.89733703318374e-08
54491.8034930037,3.86803784035595e-08,4.92009190113833e-08
54987.6872201657,3.90668925099534e-08,4.94293676324762e-08
55483.5709473278,3.94566482544924e-08,4.9658718916016e-08
55979.4546744898,3.98503656692599e-08,4.98889755868921e-08
56475.3384016518,4.02474022688876e-08,5.01201403739677e-08
56971.2221288139,4.06480577729712e-08,5.03522160100625e-08
57467.1058559759,4.1052491702812e-08,5.05852052319372e-08
57962.9895831379,4.14602963579367e-08,5.0819110780276e-08
58458.8733103,4.18721347564386e-08,5.10539353996702e-08
58954.757037462,4.22875049052089e-08,5.12896818386013e-08
59450.640764624,4.27065478193865e-08,5.15263528494233e-08
59946.5244917861,4.31295974804393e-08,5.17639511883465e-08
60442.4082189481,4.35561442265806e-08,5.20024796154191e-08
60938.2919461101,4.39867869762425e-08,5.22419408945102e-08
61434.1756732722,4.44211769333943e-08,5.24823377932919e-08
61930.0594004342,4.48592835730191e-08,5.2723673083222e-08
62425.9431275962,4.53016270744151e-08,5.29659495395252e-08
62921.8268547583,4.57475899273801e-08,5.3209169941176e-08
63417.7105819203,4.61976998940867e-08,5.34533370708794e-08
63913.5943090823,4.66517736830475e-08,5.36984537150535e-08
64409.4780362444,4.71095969752374e-08,5.39445226638103e-08
64905.3617634064,4.75718870538154e-08,5.41915467109376e-08
65401.2454905684,4.80379132184814e-08,5.44395286538794e-08
65897.1292177305,4.85081251807156e-08,5.46884712937177e-08
66393.0129448925,4.89825167916895e-08,5.49383774351533e-08
66888.8966720545,4.9460709881189e-08,5.5189249886486e-08
67384.7803992166,4.99435346410453e-08,5.54410914595957e-08
67880.6641263786,5.04302365186429e-08,5.56939049699231e-08
68376.5478535406,5.0921149260462e-08,5.59476932364492e-08
68872.4315807027,5.14164545411614e-08,5.62024590816762e-08
69368.3153078647,5.19156661629718e-08,5.64582053316072e-08
69864.1990350267,5.24195374844381e-08,5.67149348157262e-08
70360.0827621888,5.29274844217477e-08,5.69726503669778e-08
70855.9664893508,5.34396525929042e-08,5.72313548217466e-08
71351.8502165128,5.39564209205798e-08,5.7491051019837e-08
71847.7339436749,5.44771909729711e-08,5.77517418044522e-08
72343.6176708369,5.50026323479569e-08,5.80134300221735e-08
72839.5013979989,5.55323422283936e-08,5.82761185229392e-08
73335.385125161,5.60662680710223e-08,5.85398101600235e-08
73831.268852323,5.66049939102846e-08,5.8804507790015e-08
74327.152579485,5.71478058184677e-08,5.90702142727958e-08
74823.0363066471,5.76952832342211e-08,5.93369324715189e-08
75318.9200338091,5.82472140215682e-08,5.96046652525879e-08
75814.8037609711,5.88033390731052e-08,5.98734154856333e-08
76310.6874881331,5.93644535343748e-08,6.01431860434921e-08
76806.5712152952,5.9929725822371e-08,6.04139798021848e-08
77302.4549424572,6.04996395081315e-08,6.06857996408926e-08
77798.3386696193,6.10741808633107e-08,6.09586484419362e-08
78294.2223967813,6.16529157190176e-08,6.12325290907518e-08
78790.1061239433,6.22367402768545e-08,6.1507444475869e-08
79285.9898511053,6.28248182876763e-08,6.1783397488888e-08
79781.8735782674,6.34174946331149e-08,6.20603910244558e-08
80277.7573054294,6.40149597325455e-08,6.23384279802435e-08
80773.6410325915,6.46166670328619e-08,6.26175112569226e-08
81269.5247597535,6.52234144966712e-08,6.28976437581416e-08
81765.4084869155,6.58345623933976e-08,6.31788283905024e-08
82261.2922140775,6.64502461689811e-08,6.34610680635357e-08
82757.1759412396,6.70708638594997e-08,6.37443656896781e-08
83253.0596684016,6.76957560961862e-08,6.40287241842468e-08
83748.9433955637,6.83256175085158e-08,6.43141464654161e-08
84244.8271227257,6.89600106940864e-08,6.46006354541926e-08
84740.7108498877,6.95988577081603e-08,6.48881940743902e-08
85236.5945770497,7.02427651378379e-08,6.51768252526059e-08
85732.4783042118,7.08909618080026e-08,6.54665319181945e-08
86228.3620313738,7.15440350178442e-08,6.57573170032436e-08
86724.2457585359,7.22017531144352e-08,6.60491834425483e-08
87220.1294856979,7.28638234442987e-08,6.63421341735854e-08
87716.0132128599,7.35310593105742e-08,6.66361721364889e-08
88211.896940022,7.420258029424e-08,6.69313002740229e-08
88707.780667184,7.4878863608831e-08,6.72275215315569e-08
89203.664394346,7.55598841382752e-08,6.75248388570384e-08
89699.5481215081,7.62451781758082e-08,6.78232552009686e-08
90195.4318486701,7.69356346287011e-08,6.8122773516374e-08
90691.3155758321,7.76303943504304e-08,6.84233967587815e-08
91187.1993029942,7.83297809817679e-08,6.87251278861907e-08
91683.0830301562,7.90339738864306e-08,6.90279698590475e-08
92178.9667573182,7.97424042985702e-08,6.93319256402171e-08
92674.8504844803,8.04558446713147e-08,6.96369981949567e-08
93170.7342116423,8.11736471827634e-08,6.99431904908885e-08
93666.6179388043,8.18959206207992e-08,7.02505054979719e-08
